MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2000 / 11,12,6198.4,697.9,717.2
2000 / 11,09,3644.7,684.7,582.0
2000 / 11,05,4332.4,1157.1,753.3
2000 / 12,08,2978.4,650.2,310.1
2000 / 12,11,2483.2,757.1,342.6
2000 / 12,03,4098.8,567.3,530.5
2000 / 12,06,2615.7,662.9,329.2
2001 / 01,10,3195.9,593.9,513.0
2001 / 01,01,4753.2,884.1,695.6
2001 / 02,10,2846.8,499.2,399.5
2001 / 04,02,2456.2,429.5,358.5
2001 / 04,04,3989.2,411.4,435.2
2001 / 04,10,3911.6,535.4,550.8
2001 / 05,14,2979.3,314.6,290.2
2001 / 06,10,4424.2,606.4,655.5
2001 / 07,03,4865.4,434.9,582.0
2001 / 07,10,4392.0,536.3,636.8
2001 / 08,09,4129.7,579.8,671.5
2001 / 08,03,4968.9,495.6,637.8
2001 / 09,13,5949.8,845.5,816.5
2001 / 09,12,7056.6,654.5,833.9
2001 / 09,10,3855.0,556.9,541.4
2001 / 09,11,3347.6,756.9,401.0
2001 / 10,12,7239.3,670.1,845.9
2001 / 11,10,3624.8,597.8,534.4
2001 / 11,04,4112.7,488.3,477.9
2001 / 12,11,3315.9,800.6,382.9
2001 / 12,14,2488.6,337.9,264.8
2002 / 01,07,5924.7,1174.8,759.7
2002 / 01,06,2847.9,588.6,409.0
2002 / 02,11,2323.7,599.4,338.8
2002 / 03,12,6127.4,579.0,757.7
2002 / 03,04,3832.2,423.5,444.6
2002 / 04,07,6694.3,1081.0,723.3
2002 / 04,01,4938.4,679.0,640.5
2002 / 05,13,7213.5,848.4,895.7
2002 / 05,12,8325.7,560.2,894.2
2002 / 05,06,3205.8,610.1,390.1
2002 / 05,04,4436.6,436.0,485.4
2002 / 06,10,4269.1,511.5,625.7
2002 / 06,11,3580.1,749.1,448.0
2002 / 06,14,3061.4,308.5,311.7
2002 / 07,10,5109.9,433.9,
2002 / 08,08,4356.5,499.6,
2002 / 09,13,7057.8,734.2,
2002 / 09,12,8416.9,369.7,
2002 / 09,06,3423.3,536.1,
2002 / 09,02,3020.1,405.9,
2002 / 10,10,4661.0,463.3,
2002 / 10,03,5660.4,418.7,
2002 / 11,10,4712.0,476.5,
2002 / 11,03,5574.6,425.5,
2002 / 12,12,7802.7,495.3,
2002 / 12,11,3624.2,814.9,
2002 / 12,03,5389.0,443.0,
2003 / 01,12,7039.9,519.3,
2003 / 01,06,3193.4,597.8,
2003 / 02,01,4598.5,400.9,
2003 / 02,07,5638.3,739.2,
2003 / 03,09,4490.6,486.7,
2003 / 03,06,3166.5,508.4,
2003 / 04,13,6979.2,705.3,1.0
2003 / 06,06,3507.7,539.9,
2003 / 06,07,8250.5,1098.7,
2003 / 07,03,6263.2,384.4,
2003 / 07,13,8351.0,695.1,
2003 / 08,06,3393.9,484.6,
2003 / 10,01,5316.2,705.2,
2003 / 11,13,7210.3,700.9,
2003 / 12,05,5613.2,1034.0,
2004 / 01,08,3320.3,503.8,
2004 / 01,10,3478.8,475.5,
2004 / 02,01,4595.9,676.0,
2004 / 03,12,7432.8,534.0,
2004 / 07,07,7627.5,1247.8,676.3
2004 / 07,14,3560.5,317.5,277.0
2004 / 08,12,8625.3,663.6,661.1
2004 / 09,07,7570.7,1303.0,631.5
2004 / 09,03,5606.4,514.4,443.6
2004 / 10,09,4406.6,568.4,380.2
2004 / 11,12,6967.6,626.0,524.5
2004 / 11,07,6680.8,1191.3,547.2
2004 / 12,03,5121.0,581.4,442.1
2004 / 12,11,3315.5,884.8,357.6
2004 / 12,08,3954.8,695.4,317.3
2005 / 01,04,4165.0,418.2,295.3
2005 / 03,08,3732.3,651.0,309.7
2005 / 03,04,4331.2,454.1,325.4
2005 / 05,09,4582.8,531.5,407.6
2005 / 05,06,3200.3,545.2,298.4
2005 / 05,02,2853.0,421.6,269.6
2005 / 06,01,5104.4,809.1,521.4
2005 / 06,11,3888.1,807.0,427.7
2005 / 06,07,7722.6,1224.7,653.8
2005 / 07,01,4788.0,699.3,491.5
