MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2005 / 10,02,1664.0,57.3,76.1
2005 / 11,03,1831.9,65.2,68.0
2005 / 11,10,2831.7,441.4,237.2
2006 / 01,09,4427.5,195.7,219.3
2006 / 04,05,3455.6,162.4,276.3
2006 / 04,04,4244.2,150.2,185.3
2006 / 04,06,2190.2,85.1,123.9
2006 / 05,08,2726.1,400.0,279.7
2006 / 06,03,1895.6,61.1,58.4
2006 / 06,12,4487.8,499.6,503.6
2006 / 06,06,2455.2,105.9,136.3
2006 / 07,04,4601.6,157.5,203.4
2006 / 08,10,2829.3,446.7,284.2
2006 / 09,08,2650.1,407.5,272.9
2006 / 09,06,2379.3,85.5,118.7
2006 / 11,05,3708.7,188.6,270.2
2007 / 01,08,2533.9,393.9,279.5
2007 / 03,03,1819.7,72.0,59.5
2007 / 03,10,2434.2,464.0,270.3
2007 / 04,01,1846.2,79.8,82.9
2007 / 04,05,3536.1,176.8,246.7
2007 / 05,08,2716.8,408.7,278.1
2007 / 06,10,3002.4,464.3,308.9
2007 / 06,07,3879.3,274.5,308.9
2007 / 07,08,2608.0,385.6,268.4
2007 / 09,11,2976.5,357.4,258.8
2007 / 09,04,4173.5,151.6,164.8
2007 / 10,06,2423.5,98.8,122.1
2007 / 10,02,1720.6,56.0,66.3
2007 / 11,09,4374.9,213.3,213.9
2007 / 11,10,2656.2,469.6,273.2
2007 / 12,04,4709.0,182.2,164.8
2007 / 12,11,3127.7,423.6,260.4
2007 / 12,10,2687.5,491.3,251.8
2008 / 01,11,3178.8,384.5,295.7
2008 / 01,02,1869.7,67.1,80.3
2008 / 01,09,4752.0,201.7,228.4
2008 / 02,09,4309.0,182.3,189.8
2008 / 03,01,1942.8,80.6,76.8
2008 / 03,07,3925.8,244.7,261.0
2008 / 03,02,1748.3,61.1,71.0
2008 / 04,07,3971.6,250.2,261.8
2008 / 04,04,4586.7,182.6,175.4
2008 / 06,10,2824.5,396.2,284.7
2008 / 07,05,3845.3,178.7,250.5
2008 / 07,02,1770.3,82.4,89.8
2008 / 07,01,2057.2,89.5,79.7
2008 / 08,08,2417.2,354.1,240.8
2008 / 08,11,2910.3,363.3,274.4
2008 / 09,05,3738.8,177.4,235.5
2008 / 10,10,2723.2,399.5,281.4
2008 / 10,09,4666.5,210.2,240.2
2008 / 11,06,2201.8,78.9,105.2
2008 / 12,12,4252.5,461.1,444.8
2008 / 12,05,4079.0,209.0,254.0
2009 / 01,04,4436.6,174.3,199.7
2009 / 02,12,3186.1,319.2,363.2
2009 / 02,01,1693.6,73.6,69.8
2009 / 03,05,3653.6,172.7,228.9
2009 / 03,07,3880.3,224.8,258.1
2009 / 03,09,4176.6,197.2,217.1
2009 / 03,11,2799.2,293.8,248.1
2009 / 03,01,1920.7,86.2,80.0
2009 / 04,10,2672.4,355.8,267.8
2009 / 04,05,3522.4,174.3,244.6
2009 / 04,12,3952.2,385.7,430.3
2009 / 04,01,1806.1,80.3,79.0
2009 / 04,06,2253.6,121.0,152.8
2009 / 07,08,2583.2,346.3,277.6
2009 / 07,10,2895.2,384.0,306.9
2009 / 07,12,4475.4,426.5,484.8
2009 / 07,03,1960.5,87.7,87.9
2009 / 08,06,2400.1,89.1,123.5
2009 / 08,08,2519.1,324.5,249.7
2009 / 08,07,3932.8,236.7,296.9
2009 / 09,11,3090.1,321.3,267.0
2009 / 09,06,2357.1,103.7,136.3
2009 / 10,06,2332.2,104.9,126.6
2009 / 10,12,4010.7,388.3,415.9
2009 / 11,03,1776.0,66.5,72.1
2009 / 12,01,2052.9,94.1,84.3
2009 / 12,11,3235.2,391.1,275.2
2009 / 12,03,1918.3,84.1,84.0
2010 / 01,02,1644.6,89.6,102.2
2010 / 01,11,2728.4,325.5,273.1
2010 / 02,10,1871.0,254.6,203.0
2010 / 02,12,2884.6,280.1,322.3
2010 / 02,02,1491.4,59.9,69.0
2010 / 03,12,4344.6,436.8,453.7
2010 / 04,03,1790.8,72.7,77.4
2010 / 05,07,3554.9,224.9,251.4
2010 / 05,01,1872.0,84.0,72.9
2010 / 06,07,4049.2,253.3,281.8
2010 / 07,12,4289.9,394.6,448.6
2010 / 07,01,1998.1,92.5,80.6
2010 / 08,10,2603.1,324.1,257.6
2010 / 09,05,3604.2,181.4,226.1
2010 / 09,04,4459.8,171.3,178.9
2010 / 09,10,2612.6,364.6,270.8
2010 / 10,10,2693.8,372.4,269.7
2010 / 11,07,4087.0,227.6,234.8
2010 / 12,12,3021.5,340.9,324.7
2010 / 12,04,3556.4,142.5,141.8
2011 / 01,09,4811.0,187.3,228.4
2011 / 01,12,3630.1,339.7,398.1
2011 / 02,12,3610.7,362.3,394.8
2011 / 03,12,4191.3,409.0,401.4
2011 / 06,12,4589.1,397.5,421.5
2011 / 06,08,2719.1,340.2,240.8
2011 / 07,12,4046.2,357.7,409.9
2011 / 08,07,4227.1,261.5,261.6
2011 / 08,08,2759.9,349.1,243.7
2011 / 12,12,4026.4,440.9,405.1
2012 / 03,03,1869.9,82.2,80.8
2012 / 03,10,2553.8,329.6,267.5
2012 / 04,01,1894.8,79.3,85.0
2012 / 04,03,1798.7,79.6,83.5
2012 / 05,02,1660.3,77.5,90.1
2012 / 06,05,3582.3,195.2,232.7
2012 / 07,09,4237.6,173.9,220.5
2012 / 07,07,3822.7,224.3,253.9
2012 / 10,02,1606.8,62.1,76.3
2012 / 12,02,1672.6,78.7,80.8
2013 / 01,04,4741.7,193.9,201.0
2013 / 02,11,2463.8,246.7,212.1
2013 / 02,07,3400.8,185.8,220.6
2013 / 03,02,1581.8,77.8,90.3
2013 / 06,09,4245.6,201.5,242.9
2013 / 06,12,4057.8,397.6,442.6
2013 / 06,03,1858.3,100.4,91.1
2013 / 07,05,3685.0,178.5,246.6
2013 / 08,07,3658.6,232.5,267.5
2013 / 09,01,1872.7,98.3,88.2
2013 / 10,02,1545.8,72.3,92.1
2013 / 11,11,2889.6,277.7,229.9
2013 / 11,06,2075.9,91.0,113.0
2013 / 12,09,3838.9,206.7,256.1
2013 / 12,12,3760.0,409.2,425.4
2013 / 12,03,1945.6,98.6,92.8
2013 / 12,10,2447.4,403.1,302.7
2014 / 01,07,3490.4,253.4,319.0
2014 / 01,02,1535.9,91.1,109.4
2014 / 01,11,2691.6,303.7,277.9
2014 / 02,10,1941.7,264.7,237.9
2014 / 03,11,2784.9,270.9,251.1
2014 / 04,12,3904.9,361.3,429.5
2014 / 04,04,4220.4,218.6,218.8
2014 / 05,08,2511.8,331.7,274.7
2014 / 06,06,2136.0,105.2,134.6
2014 / 06,11,3120.4,304.1,276.9
2014 / 06,12,3988.2,382.4,449.7
2014 / 07,11,3310.6,309.9,284.2
2014 / 07,10,2766.1,329.3,323.1
2014 / 08,01,1890.1,89.7,98.9
2014 / 09,02,1515.0,71.4,94.5
2014 / 09,12,3835.0,350.4,427.3
2014 / 09,07,3629.3,238.4,306.1
2014 / 09,03,1808.9,109.9,111.8
2014 / 10,03,1819.2,99.9,110.8
2014 / 10,10,2457.4,329.3,300.9
2014 / 11,12,3499.7,322.2,371.3
2014 / 11,11,2890.1,271.4,238.8
2014 / 12,03,1972.5,149.1,142.0
2015 / 01,04,3843.8,172.6,209.9
