MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1999 / 04,13,2166.8,190.0,200.3
1999 / 05,15,4480.0,789.3,473.0
1999 / 05,02,2265.7,434.9,246.2
1999 / 05,06,2862.4,672.5,335.6
1999 / 05,17,4563.0,348.7,414.7
1999 / 06,11,4941.9,832.8,611.5
1999 / 06,08,3034.1,214.2,249.1
1999 / 06,16,2397.8,87.8,133.5
1999 / 07,11,4475.8,788.6,641.4
1999 / 07,16,2321.4,88.4,158.0
1999 / 07,18,5676.4,841.0,758.7
1999 / 07,05,4594.6,254.3,500.8
1999 / 07,04,3094.8,166.5,415.2
1999 / 08,06,2717.1,627.9,347.3
1999 / 08,08,2887.9,201.6,282.0
1999 / 09,12,5565.2,871.5,624.2
1999 / 09,14,4940.6,619.1,504.2
1999 / 10,09,3080.0,253.1,328.0
1999 / 11,14,4678.1,572.1,476.9
1999 / 11,02,2235.4,433.9,223.4
1999 / 11,04,3034.7,145.2,271.0
1999 / 12,11,4487.4,989.5,586.7
1999 / 12,03,4403.5,268.4,338.0
1999 / 12,16,2279.9,115.9,139.8
2000 / 01,12,4782.0,665.7,556.8
2000 / 01,03,3840.9,190.7,303.9
2000 / 02,01,4190.9,394.3,417.8
2000 / 02,06,2454.2,692.9,332.0
2000 / 02,09,2743.0,229.2,294.0
2000 / 03,12,5546.7,800.2,602.8
2000 / 04,17,4184.8,356.3,438.1
2000 / 04,14,4729.8,582.2,526.9
2000 / 04,06,2587.5,731.0,334.0
2000 / 04,16,2111.4,96.0,131.9
2000 / 05,03,4819.0,249.3,343.4
2000 / 06,07,3398.1,598.0,532.6
2000 / 07,14,4773.1,514.2,527.1
2000 / 07,16,2401.9,92.8,149.3
2000 / 08,01,4190.7,386.0,509.5
2000 / 08,17,5110.4,397.4,581.0
2000 / 08,15,4539.5,846.6,571.8
2000 / 08,08,3026.3,266.6,345.2
2000 / 08,09,3208.6,245.6,342.9
2000 / 09,10,3161.7,804.9,484.1
2000 / 09,17,4694.4,405.0,538.7
2000 / 09,12,5302.4,834.3,610.2
2000 / 09,04,3136.7,179.6,372.5
2000 / 09,07,3212.4,479.1,513.1
2000 / 10,09,3168.6,253.8,293.5
2000 / 10,10,3252.1,786.4,489.8
2000 / 11,11,4428.7,911.9,597.8
2000 / 11,03,4371.4,249.3,319.4
2000 / 11,08,2801.1,301.4,321.5
2000 / 12,15,3940.9,890.4,473.3
2000 / 12,10,2973.6,787.8,433.8
2000 / 12,05,4065.5,310.1,424.8
2001 / 01,13,2183.0,213.5,200.0
2001 / 01,04,3051.8,173.9,335.5
2001 / 02,01,3961.1,360.8,400.2
2001 / 03,01,4871.2,470.7,522.9
2001 / 03,08,2778.4,268.1,304.7
2001 / 03,03,4340.2,252.6,342.7
2001 / 05,03,4803.2,223.1,352.7
2001 / 05,09,3308.2,254.3,321.9
2001 / 05,06,2832.8,708.3,390.7
2001 / 06,14,5238.6,605.2,590.6
2001 / 06,18,6131.7,906.2,836.7
2001 / 06,09,3358.5,263.3,347.2
2001 / 08,08,3109.3,257.7,393.4
2001 / 08,11,4770.9,763.2,662.4
2001 / 09,04,3191.3,174.3,368.5
2001 / 09,14,4991.8,533.2,557.5
2001 / 10,01,4961.3,451.2,518.0
2001 / 10,17,4934.1,406.5,534.1
2001 / 10,12,5872.1,760.4,664.2
2001 / 10,07,3388.4,12.2,521.1
2001 / 11,05,4585.0,308.5,501.4
2001 / 11,07,3215.8,22.4,524.1
2001 / 12,12,5491.1,753.7,564.9
2001 / 12,01,4823.4,461.5,458.7
2001 / 12,10,3257.7,733.6,486.4
2002 / 01,18,5212.5,906.6,759.0
